Item,Quanity,Price (€),URL
nice!nano v2,2,"€43,90",https://typeractive.xyz/products/nice-nano?_pos=2&_psq=nice&_ss=e&_v=1.0
Keycaps,6,"€23,70",https://typeractive.xyz/products/mbk-keycaps?_pos=1&_sid=3f1b35e59&_ss=r
Choc switches,6,"€29,70",http://typeractive.xyz/products/choc-switches
Diodes,6,"€5,70",https://typeractive.xyz/products/smd-diodes?_pos=1&_sid=89c804fa1&_ss=r
LiPo battery,2,"€ 7,54",https://nl.aliexpress.com/item/1005005213892382.html?spm=a2g0o.cart.0.0.23e061d7xbi5uM&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2014.09%21EUR%204.68%21%21EUR%204.68%21%21%21%40211b655217656172436378542e3ce8%2112000033329836828%21ct%21BE%21-1%21%211%210&gatewayAdapt=glo2nld
Battery jack,1,"€0,95",https://typeractive.xyz/products/battery-jack
Kailh Hotswap Sockets,6,"€11,70",https://typeractive.xyz/products/hotswap-sockets?variant=45742200324327
Reset button,1,"€1,95",https://typeractive.xyz/products/reset-button
Power switch,1,"€1,95",https://typeractive.xyz/products/power-switch
,,"€127,09",